namespace,service,p50_seconds,p95_seconds,p99_seconds
bookinfo,productpage.bookinfo.svc.cluster.local,682.3411246938326,2211.1815839937976,2564.8477211010327
teastore,teastore-webui.teastore.svc.cluster.local,1.7564663593151224,35.37954139720593,78.78520150856114
bookinfo,details.bookinfo.svc.cluster.local,2.8978952864401286,4.349417796231343,4.478442019323896
sock-shop,front-end.sock-shop.svc.cluster.local,2.87797765489539,4.341102413002637,4.471157947056615
bookinfo,reviews.bookinfo.svc.cluster.local,0.4357434977037897,0.8515636554938387,0.8888519184057257
bookinfo,ratings.bookinfo.svc.cluster.local,0.07303863946515833,0.26868947706554736,0.2860806626300264
teastore,teastore-registry.teastore.svc.cluster.local,0.016509697154254918,0.027761178755612168,0.028761310453510592
sock-shop,payment.sock-shop.svc.cluster.local,0.00021375792422232047,0.0032918720330237326,0.005446551909184726
sock-shop,catalogue.sock-shop.svc.cluster.local,0.00020499937643475544,0.0006529609767921833,0.0013454033149718015
sock-shop,user.sock-shop.svc.cluster.local,0.00019827177806106962,0.00046729053147574794,0.0005837301393188854
sock-shop,shipping.sock-shop.svc.cluster.local,0.00018457089783281737,0.00029531343653250774,0.00030515721775025806
sock-shop,orders.sock-shop.svc.cluster.local,0.0001832643962848297,0.0002932230340557275,0.0003029971351909184
sock-shop,queue-master.sock-shop.svc.cluster.local,0.00017867182662538702,0.0002858749226006192,0.0002954040866873065
sock-shop,carts.sock-shop.svc.cluster.local,0.00017824705882352944,0.0002851952941176471,0.00029470180392156866
